Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
11/1/17,2/11/17,161.5,15/11/2017,149,155,2316,17415308,2682241826,30-11-2017,21
10/1/17,3/10/17,166.1,31/10/2017,158,159.6,1426,16621555,2706344459,31-10-2017,20
9/1/17,20/09/2017,166,7/9/17,159,162.5,1206,21234267,3470397268,29-09-2017,19
8/1/17,1/8/17,174,25/08/2017,157.9,162,2262,21514229,3555773629,31-08-2017,22
7/1/17,3/7/17,179,24/07/2017,171,173.8,1286,14190065,2501159416,31-07-2017,21
6/1/17,16/06/2017,180,12/6/17,165,178.8,2569,27434133,4791479938,30-06-2017,20
5/1/17,25/05/2017,170,3/5/17,157.5,168,2261,19464504,3266795979,31-05-2017,20
4/1/17,28/04/2017,161.5,3/4/17,138,161.1,5422,58875859,9022100604,28-04-2017,17
3/1/17,1/3/17,142.8,28/03/2017,133.9,137.9,2804,39241657,5413041735,31-03-2017,23
2/1/17,14/02/2017,150,27/02/2017,139.9,142.3,2274,15924614,2309763186,28-02-2017,18
1/1/17,2/1/17,145,25/01/2017,137,140,3212,31661500,4433897429,31-01-2017,21
12/1/16,8/12/16,156,27/12/2016,143,145,2341,17302527,2607183430,30-12-2016,19
11/1/16,3/11/16,153.9,21/11/2016,143.8,148.3,2221,12432138,1835234521,30-11-2016,21
10/1/16,10/10/16,158,31/10/2016,148.6,149,2334,5871246,898933208.7,31-10-2016,21
9/1/16,30/09/2016,155,15/09/2016,148.1,154,2877,6846825,1030637253,30-09-2016,20
8/1/16,16/08/2016,159,1/8/16,140.2,152.5,3420,14997830,2274211183,31-08-2016,22
7/1/16,21/07/2016,145,4/7/16,135,140.8,2321,10715534,1499098046,29-07-2016,19
6/1/16,15/06/2016,162,30/06/2016,135,135,2021,7413070,1151840370,30-06-2016,19
5/1/16,17/05/2016,165,27/05/2016,154.5,156,2410,16688911,2639970294,31-05-2016,20
4/1/16,22/04/2016,156.5,4/4/16,147.8,155.2,1871,12275650,1861459914,29-04-2016,18
3/1/16,1/3/16,159.5,23/03/2016,140,148,2288,20501319,3113937082,31-03-2016,20
2/1/16,10/2/16,165,15/02/2016,155,159.4,2600,13986948,2222969965,29-02-2016,19
1/1/16,4/1/16,179,26/01/2016,150.1,154.6,4060,14977457,2430837386,29-01-2016,19
12/1/15,1/12/15,183,15/12/2015,173.7,178.1,2364,13575959,2436314999,31-12-2015,21
11/1/15,23/11/2015,191,2/11/15,175,179.9,3832,12216950,2241813445,30-11-2015,19
