Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2024-26,24/06/2024,207.75,27/06/2024,203,203.75,511,3041367,625029812,28-06-2024,5
2024-25,18/06/2024,207,20/06/2024,201,202,484,8225021,1667634624,20-06-2024,3
2024-24,10/6/24,208,14/06/2024,202.25,205,1016,9750041,1988084938,14-06-2024,6
2024-23,7/6/24,207,5/6/24,202.25,206,343,1372580,279003543.3,7/6/24,5
2024-22,28/05/2024,210,29/05/2024,205.25,206.75,402,1350445,279288395.5,31-05-2024,5
2024-21,22/05/2024,209,20/05/2024,203,208.75,360,2001509,414897419.3,22-05-2024,3
2024-20,13/05/2024,209.75,16/05/2024,201,205.25,937,8479645,1718065178,17-05-2024,5
2024-19,10/5/24,209,7/5/24,200,208.75,1132,4452024,905435085,10/5/24,5
2024-18,2/5/24,218,3/5/24,205,205.5,1275,6108990,1276994618,3/5/24,4
2024-17,26/04/2024,210,22/04/2024,203,208.25,556,2945685,605090885.5,26-04-2024,4
2024-16,19/04/2024,204,19/04/2024,198.25,203.75,621,1214464,246253580.3,19-04-2024,5
2024-15,10/4/24,201,9/4/24,198,200.75,375,1457447,291635608,10/4/24,3
2024-14,4/4/24,199.75,1/4/24,193.25,199,753,2409739,477870896.8,5/4/24,5
2024-13,28/03/2024,194.75,26/03/2024,190,194,389,1574647,302367829.3,28-03-2024,4
12/1/24,19/03/2024,193,21/03/2024,187,190,453,934492,177194800.5,22-03-2024,5
11/1/24,14/03/2024,192.5,11/3/24,189,192,378,628256,120281510.8,15-03-2024,5
10/1/24,7/3/24,190.75,4/3/24,185.75,189,426,1682472,317398446,7/3/24,4
9/1/24,26/02/2024,194.25,1/3/24,184.75,185,791,3708089,691561493,1/3/24,5
8/1/24,22/02/2024,194.5,19/02/2024,187,194,618,4743238,914172170.3,22-02-2024,4
7/1/24,16/02/2024,189.5,12/2/24,184,189,420,2196887,413201048.3,16-02-2024,5
