Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-22,28/05/2020,15.8,26/05/2020,14.7,15.6,149,105063,1601586.7,29-05-2020,4
2020-21,22/05/2020,15,20/05/2020,14,14.7,346,950606,13727256.7,22-05-2020,5
2020-20,15/05/2020,13.9,12/5/20,11.9,13.7,319,10806729,133041453.3,15-05-2020,5
12/1/20,20/03/2020,13.9,20/03/2020,12.8,13,22,103945,1351964,20-03-2020,1
11/1/20,10/3/20,16.3,13/03/2020,14,14.5,220,3847033,56860553.7,13-03-2020,4
10/1/20,2/3/20,17.4,6/3/20,16.2,16.3,93,176833,3005340.9,6/3/20,5
9/1/20,25/02/2020,17.4,28/02/2020,16.8,16.9,93,109386,1859099.4,28-02-2020,5
8/1/20,20/02/2020,17.8,17/02/2020,17,17.6,40,18620,323495.8,20-02-2020,4
7/1/20,14/02/2020,17.9,14/02/2020,17.5,17.5,48,34627,608809,14-02-2020,5
6/1/20,7/2/20,18,7/2/20,17.4,17.6,44,16452,294848.5,7/2/20,4
5/1/20,30/01/2020,18.1,28/01/2020,17,17.5,81,121953,2183833.4,31-01-2020,5
4/1/20,23/01/2020,18,21/01/2020,16.8,17.8,138,283105,4835820.6,24-01-2020,5
3/1/20,13/01/2020,18,17/01/2020,17,17.2,129,264375,4518897.5,17-01-2020,4
2/1/20,6/1/20,18,8/1/20,16.7,17.3,151,939798,16325854.3,9/1/20,4
1/1/20,3/1/20,18.8,3/1/20,17.9,18,77,137045,2469720.6,3/1/20,2
2019-52,27/12/2019,18.9,23/12/2019,18,18.9,84,303783,5546947.4,27-12-2019,4
2019-51,16/12/2019,19,20/12/2019,18.2,18.4,87,79669,1470184.2,20-12-2019,5
2019-50,9/12/19,19.2,10/12/19,18,18.5,70,32929,607245.6,13-12-2019,4
2019-49,3/12/19,19.9,6/12/19,18.8,19,216,438757,8513650.6,6/12/19,5
2019-48,28/11/2019,20,27/11/2019,18.6,18.8,273,532817,10335680.1,29-11-2019,5
2019-47,20/11/2019,20.5,19/11/2019,18.3,19.4,750,2646324,52256046.1,22-11-2019,5
2019-46,15/11/2019,18.3,13/11/2019,17.2,18,194,576678,10315915,15-11-2019,3
2019-45,6/11/19,18,8/11/19,17.1,17.1,91,88465,1551529.3,8/11/19,5
2019-44,1/11/19,18.5,31/10/2019,17.2,18,261,797977,14228822,1/11/19,5
2019-43,25/10/2019,17.8,21/10/2019,16.4,17.5,257,832424,14258182.5,25-10-2019,5
2019-42,15/10/2019,16.9,16/10/2019,16.3,16.5,231,4769849,78659416,18-10-2019,5
2019-41,9/10/19,17,8/10/19,15.7,16.5,66,200506,3239528.9,11/10/19,5
2019-40,4/10/19,16,3/10/19,15.7,16,72,86762,1387215.2,4/10/19,5
2019-39,23/09/2019,16.9,25/09/2019,15.8,16.4,49,16747,269497.2,27-09-2019,5
2019-38,20/09/2019,16.5,20/09/2019,15.8,16.1,90,377497,6044200.8,20-09-2019,5
2019-37,12/9/19,17,9/9/19,16.1,16.5,41,444660,7328148.1,12/9/19,4
2019-36,4/9/19,17,6/9/19,16.3,16.4,72,84414,1393654.9,6/9/19,5
2019-35,30/08/2019,17,30/08/2019,16.6,16.6,89,1065746,17707064.5,30-08-2019,5
2019-34,22/08/2019,17,21/08/2019,16.7,16.8,39,9417,158533.6,23-08-2019,5
2019-33,15/08/2019,17.5,13/08/2019,16.5,16.9,89,63742,1074018.1,16-08-2019,3
2019-32,7/8/19,17.2,5/8/19,16.4,16.5,103,698417,11526192.5,9/8/19,5
2019-31,29/07/2019,17.5,2/8/19,16.5,16.5,379,2560775,43460758.9,2/8/19,5
2019-30,25/07/2019,17.5,26/07/2019,16.7,17,168,528951,9066639.4,26-07-2019,5
2019-29,15/07/2019,17.4,15/07/2019,16.5,17,56,141802,2417581.3,19-07-2019,4
2019-28,11/7/19,17.5,8/7/19,16.5,17.1,131,112622,1917118.1,12/7/19,5
2019-27,4/7/19,17.3,2/7/19,15.3,16.7,174,512609,8088201.5,5/7/19,5
2019-26,28/06/2019,15.9,28/06/2019,15,15.8,49,1361128,20419581.3,28-06-2019,5
2019-25,19/06/2019,16,20/06/2019,15,15.5,132,1007018,15268198,21-06-2019,5
2019-24,14/06/2019,15.7,10/6/19,14,15.1,50,55541,832077.9,14-06-2019,5
2019-23,3/6/19,14.5,7/6/19,14,14,50,2130677,29835959.7,7/6/19,4
2019-22,31/05/2019,14.5,29/05/2019,14.1,14.3,36,15788,228357.7,31-05-2019,5
2019-21,24/05/2019,14.4,21/05/2019,13.7,14.2,31,447331,6309137.7,24-05-2019,4
2019-20,13/05/2019,14.2,15/05/2019,13.5,13.7,61,277133,3877705.7,17-05-2019,5
2019-19,8/5/19,14.6,6/5/19,14.1,14.4,54,131231,1897687.9,10/5/19,4
2019-18,30/04/2019,15,30/04/2019,14.1,14.2,20,2856,41179.4,3/5/19,4
2019-17,24/04/2019,14.8,23/04/2019,14,14.5,33,26670,377197,26-04-2019,4
2019-16,16/04/2019,15,17/04/2019,14.8,14.9,14,1316,19514.8,18-04-2019,3
2019-15,12/4/19,15,9/4/19,14.4,15,29,292274,4238079.8,12/4/19,5
2019-14,3/4/19,15.5,5/4/19,14.5,15,29,8682,127181.1,5/4/19,5
2019-13,29/03/2019,15.5,29/03/2019,14.5,14.5,42,297307,4341412.8,29-03-2019,5
12/1/19,18/03/2019,15.5,22/03/2019,14.5,14.6,49,63256,918825.1,22-03-2019,4
11/1/19,13/03/2019,15.4,12/3/19,14.3,14.7,65,17686979,256463538.4,15-03-2019,5
10/1/19,5/3/19,15.9,8/3/19,14.9,15.1,26,5024,76811.5,8/3/19,4
9/1/19,25/02/2019,16,1/3/19,15.1,15.1,43,817418,12595557.4,1/3/19,5
8/1/19,22/02/2019,16,22/02/2019,15.4,15.9,31,5161,79870.6,22-02-2019,4
7/1/19,14/02/2019,16,15/02/2019,15.5,15.5,93,88419,1394545.8,15-02-2019,5
6/1/19,7/2/19,16.3,6/2/19,15.8,16,48,10687,169345.8,8/2/19,4
5/1/19,31/01/2019,16.5,30/01/2019,15.8,16,89,39557,629766.9,1/2/19,5
4/1/19,25/01/2019,16.5,24/01/2019,16,16.2,50,22650,367427.2,25-01-2019,5
3/1/19,16/01/2019,16.4,17/01/2019,16,16.2,27,21597,351537.9,18-01-2019,4
2/1/19,8/1/19,16.9,11/1/19,16,16.1,50,103015,1685891.5,11/1/19,5
1/1/19,30/12/2019,18.9,3/1/19,16.1,18.5,38,33960,610554.7,31-12-2019,5
2018-52,28/12/2018,16.9,27/12/2018,16.2,16.3,35,38571,628586.7,28-12-2018,3
2018-51,21/12/2018,16.5,19/12/2018,15.8,16.2,56,1647754,26200779.2,21-12-2018,5
2018-50,10/12/18,16.9,14/12/2018,16.3,16.4,54,73600,1215256.2,14-12-2018,5
2018-49,4/12/18,17.4,6/12/18,16.5,16.9,55,20646,345725.6,7/12/18,5
2018-48,30/11/2018,17,28/11/2018,16.5,16.9,62,1086204,18182959.8,30-11-2018,5
2018-47,19/11/2018,17.1,23/11/2018,16.8,16.8,41,16859,286196.3,23-11-2018,3
2018-46,12/11/18,18.3,14/11/2018,16.4,16.9,115,591192,10051039,16-11-2018,5
2018-45,5/11/18,18.6,9/11/18,17.1,17.5,70,71698,1279141.6,9/11/18,4
2018-44,2/11/18,19.2,31/10/2018,17.9,18.5,194,244736,4490112.8,2/11/18,5
2018-43,26/10/2018,17.8,25/10/2018,16.5,17,41,136064,2309202.2,26-10-2018,4
2018-42,15/10/2018,17.2,18/10/2018,16.8,16.8,39,248251,4196078.7,18-10-2018,4
2018-41,8/10/18,18,12/10/18,17.1,17.1,135,334035,5838130.3,12/10/18,5
2018-40,5/10/18,17.1,1/10/18,16,16.9,87,86669,1425262,5/10/18,5
2018-39,28/09/2018,16.8,26/09/2018,16.2,16.7,79,768668,12827467.7,28-09-2018,4
2018-38,17/09/2018,18,21/09/2018,16.2,16.6,312,3442069,57464863.2,21-09-2018,5
2018-37,10/9/18,19,13/09/2018,17.8,17.9,171,307298,5559454.6,14-09-2018,5
2018-36,3/9/18,19.9,7/9/18,18.9,19.1,170,1175623,22530969.2,7/9/18,5
2018-35,30/08/2018,20,30/08/2018,19.4,19.5,99,24304,476582.8,31-08-2018,5
2018-34,24/08/2018,21.5,21/08/2018,19.7,19.8,80,187990,3760632.3,24-08-2018,4
2018-33,16/08/2018,20.6,17/08/2018,20,20.1,64,1006421,20629584.7,17-08-2018,5
2018-32,9/8/18,20.5,6/8/18,19.8,20.1,30,34967,708457.2,10/8/18,5
2018-31,30/07/2018,21,2/8/18,20,20,102,1446822,29556576.8,3/8/18,5
2018-30,23/07/2018,21.3,25/07/2018,20.4,20.5,140,2221756,45662488.9,26-07-2018,4
2018-29,18/07/2018,21.4,16/07/2018,20.6,21,59,269735,5661603.2,20-07-2018,5
2018-28,12/7/18,21.5,11/7/18,20.5,20.6,80,65662,1354784.6,13-07-2018,5
2018-27,5/7/18,23,4/7/18,20,21.1,80,24553,507980.1,6/7/18,5
2018-26,29/06/2018,21,29/06/2018,20.3,20.9,53,260177,5358334.1,29-06-2018,4
2018-25,19/06/2018,21.7,20/06/2018,20,20.8,77,191542,4079308.4,22-06-2018,5
2018-24,13/06/2018,21.8,14/06/2018,21,21.5,88,1180595,25382412.5,14-06-2018,4
2018-23,7/6/18,22.5,4/6/18,21.4,21.6,88,99137,2166565.4,8/6/18,5
2018-22,28/05/2018,22.8,31/05/2018,21.3,21.5,131,1500635,32288706.8,1/6/18,4
2018-21,24/05/2018,23.2,22/05/2018,21.3,21.9,302,1275883,28276980.3,25-05-2018,5
2018-20,18/05/2018,21.9,17/05/2018,20.9,21.5,164,11639548,244448148.8,18-05-2018,5
2018-19,8/5/18,22.9,10/5/18,20.6,21.2,188,183745,3966638.6,11/5/18,4
2018-18,4/5/18,22.5,4/5/18,21.5,22.4,236,1190889,26500513.2,4/5/18,4
2018-17,23/04/2018,22.5,25/04/2018,20.9,22,232,388733,8532754,27-04-2018,5
2018-16,18/04/2018,23.5,16/04/2018,19.4,22.1,763,561739,12323180.9,20-04-2018,5
2018-15,9/4/18,20.9,11/4/18,18.9,19.3,561,526568,10233678.9,12/4/18,4
2018-14,3/4/18,35,4/4/18,20.3,21.1,2291,4932497,121138633.2,6/4/18,4
1/1/18,31/12/2018,16.5,31/12/2018,16.1,16.1,19,724771,11668817.5,31-12-2018,1
2016-39,29/09/2016,255,30/09/2016,236.6,237.1,327,3654333,889201964.7,30-09-2016,5
2016-38,19/09/2016,248.9,21/09/2016,235.6,247.6,300,741409,175490932,23-09-2016,5
2016-37,13/09/2016,262,14/09/2016,247.6,249.9,139,55420,14039840,15-09-2016,3
2016-36,6/9/16,269,8/9/16,260,260.5,168,1221700,320421035.3,9/9/16,5
2016-35,2/9/16,270,2/9/16,266.2,267.1,107,468290,125034870.7,2/9/16,5
2016-34,22/08/2016,272.9,26/08/2016,266.1,267,300,603518,161816096.3,26-08-2016,5
2016-33,16/08/2016,275,15/08/2016,266,273,198,709538,193111841.9,19-08-2016,4
2016-32,8/8/16,269.9,8/8/16,260,268.7,189,613952,163011940.5,12/8/16,5
