Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2024-36,5/9/24,9,5/9/24,8.4,8.7,1760,28888070,246724146.9,6/9/24,5
2024-35,30/08/2024,9,30/08/2024,8.7,8.7,985,5098543,45463736.9,30-08-2024,5
2024-34,22/08/2024,9.3,23/08/2024,8.9,8.9,699,16568671,149185973.6,23-08-2024,4
2024-33,12/8/24,9.4,16/08/2024,8.9,9.1,993,5230453,47471873.6,16-08-2024,5
2024-32,5/8/24,9.5,9/8/24,9.2,9.3,456,1720724,15989601.1,9/8/24,5
2024-31,29/07/2024,9.8,2/8/24,9.3,9.4,380,6575115,61890806,2/8/24,5
2024-30,26/07/2024,9.8,23/07/2024,9.2,9.6,634,8675899,81173807,26-07-2024,5
2024-29,18/07/2024,9.7,18/07/2024,9.1,9.4,1032,4578132,42888636.3,19-07-2024,5
2024-28,8/7/24,9.8,12/7/24,9.4,9.5,994,2935725,27945414,12/7/24,5
2024-27,1/7/24,9.9,5/7/24,9.6,9.7,740,2146305,20831436.3,5/7/24,5
2024-26,24/06/2024,10.2,28/06/2024,9.7,9.8,1274,5360515,53329027.7,28-06-2024,5
2024-25,18/06/2024,10.4,20/06/2024,10,10.1,651,1669134,16888222.7,20-06-2024,3
2024-24,13/06/2024,11.5,14/06/2024,10.1,10.3,1407,10766539,119058968.2,14-06-2024,6
2024-23,7/6/24,11.5,4/6/24,11,11.3,821,13389297,149060983.3,7/6/24,5
2024-22,31/05/2024,11.3,28/05/2024,10.9,11.1,1006,4347697,48263539,31-05-2024,5
2024-21,20/05/2024,11.4,22/05/2024,11.1,11.2,476,2122733,23726740.3,22-05-2024,3
2024-20,15/05/2024,11.6,17/05/2024,11.2,11.3,574,1820117,20796622.7,17-05-2024,5
2024-19,7/5/24,11.9,9/5/24,11.4,11.5,997,61168006,703819589.1,10/5/24,5
2024-18,3/5/24,12,3/5/24,11.5,11.8,569,7322101,86508278,3/5/24,4
2024-17,26/04/2024,12,26/04/2024,11.7,11.8,452,6901212,81528981.6,26-04-2024,4
2024-16,19/04/2024,12.1,17/04/2024,11.5,11.9,885,18565832,214772952.2,19-04-2024,5
2024-15,8/4/24,12.2,9/4/24,11.8,12,258,3288549,39491480,10/4/24,3
2024-14,5/4/24,12.1,2/4/24,11.5,12,472,4412784,52004233.1,5/4/24,5
2024-13,28/03/2024,12,28/03/2024,11.6,11.7,357,3156708,37567908.2,28-03-2024,4
12/1/24,22/03/2024,12,18/03/2024,11,11.8,726,5707068,65360006.5,22-03-2024,5
11/1/24,14/03/2024,11.2,12/3/24,10.7,11,475,5836438,63639553.4,15-03-2024,5
10/1/24,7/3/24,10.8,6/3/24,10.5,10.7,282,1943150,20606003,7/3/24,4
9/1/24,1/3/24,10.6,1/3/24,10.4,10.6,696,50567050,531144028.2,1/3/24,5
8/1/24,22/02/2024,10.6,19/02/2024,10.1,10.5,961,11116206,115231130.3,22-02-2024,4
7/1/24,16/02/2024,9.9,12/2/24,9.3,9.8,500,10177474,98108030,16-02-2024,5
6/1/24,9/2/24,9.5,7/2/24,9.1,9.4,252,1881243,17466343,9/2/24,4
5/1/24,2/2/24,9.3,30/01/2024,8.9,9.2,463,30302914,272378510,2/2/24,5
4/1/24,22/01/2024,9,24/01/2024,8.6,8.8,372,3933415,34351952.6,26-01-2024,4
3/1/24,19/01/2024,9,18/01/2024,8.7,8.8,134,1255476,11052877.8,19-01-2024,4
2/1/24,12/1/24,9,12/1/24,8.7,8.8,611,19160302,168587076,12/1/24,5
1/1/24,31/12/2024,11.9,4/1/24,8.7,11.7,873,7727766,88267567.8,31-12-2024,6
2023-52,28/12/2023,9.1,27/12/2023,8.7,9,125,405444,3623340.1,29-12-2023,3
2023-51,22/12/2023,9,22/12/2023,8.7,8.8,442,3537490,31276680.2,22-12-2023,5
2023-50,14/12/2023,9.2,15/12/2023,8.8,8.8,514,2504144,22309359.3,15-12-2023,5
2023-49,8/12/23,9.2,8/12/23,9,9.1,327,3871580,34925986.1,8/12/23,5
2023-48,1/12/23,9.2,1/12/23,8.9,9,321,832506,7516277.4,1/12/23,5
2023-47,21/11/2023,9.3,24/11/2023,9,9.2,194,203492,1851892.7,24-11-2023,5
2023-46,14/11/2023,9.8,15/11/2023,8.9,9,1014,7603202,68726351.5,17-11-2023,5
2023-45,7/11/23,10,10/11/23,9.4,9.5,317,5810869,56734355.9,10/11/23,5
2023-44,3/11/23,9.8,31/10/2023,9.4,9.8,273,10798854,102623277.9,3/11/23,5
2023-43,25/10/2023,9.9,27/10/2023,9.1,9.2,767,2081863,19834528.6,27-10-2023,5
2023-42,16/10/2023,10.7,20/10/2023,9.8,9.9,542,5538538,57056867.5,20-10-2023,5
2023-41,10/10/23,10.9,13/10/2023,10.3,10.5,326,335513,3531664.4,13-10-2023,5
2023-40,6/10/23,11,4/10/23,10.7,10.8,256,2228694,23887001,6/10/23,5
2023-39,27/09/2023,11,27/09/2023,10.8,10.9,153,170606,1857055,27-09-2023,3
2023-38,21/09/2023,11.4,22/09/2023,10.8,10.9,336,548347,6032300.6,22-09-2023,5
2023-37,14/09/2023,11.5,15/09/2023,11.1,11.2,237,2400999,26960194.1,15-09-2023,5
2023-36,8/9/23,11.5,7/9/23,11,11.2,299,2144827,24265035,8/9/23,5
2023-35,1/9/23,11.6,1/9/23,11.2,11.3,164,627792,7172023.3,1/9/23,4
2023-34,24/08/2023,11.6,25/08/2023,11.1,11.3,262,7941955,91262202.2,25-08-2023,5
2023-33,14/08/2023,12.1,16/08/2023,11.1,11.5,577,17692369,208298625.6,18-08-2023,5
2023-32,11/8/23,12.3,11/8/23,11.8,11.9,644,6712485,81140814.7,11/8/23,5
2023-31,4/8/23,12.3,31/07/2023,10.9,12.2,929,13972722,162721313.1,4/8/23,4
2023-30,27/07/2023,11.3,26/07/2023,10.8,10.9,316,8194004,90706951.2,28-07-2023,5
2023-29,21/07/2023,11.3,19/07/2023,10.6,11.2,567,24040041,256214439.4,21-07-2023,5
2023-28,13/07/2023,11.1,11/7/23,10.8,10.9,448,10708191,117746877.9,14-07-2023,5
2023-27,7/7/23,10.9,4/7/23,10.3,10.8,519,15986635,168565206.8,7/7/23,4
2023-26,27/06/2023,10.4,28/06/2023,10.1,10.3,123,4623223,47207990.1,28-06-2023,3
2023-25,22/06/2023,10.5,20/06/2023,9.9,10.3,691,19677452,197114400.2,23-06-2023,5
2023-24,12/6/23,10.4,16/06/2023,10,10.1,241,4639775,47191793.3,16-06-2023,5
