Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2017-39,26/09/2017,1000,26/09/2017,970,971,8,10193,10187402,29-09-2017,4
2017-38,21/09/2017,1005,22/09/2017,1000,1000,62,22955,22962458,22-09-2017,5
2017-37,15/09/2017,1000.5,12/9/17,951,1000.5,101,121674,119501587.2,15-09-2017,5
2017-36,4/9/17,960,6/9/17,956,956.9,23,16190,15492349.7,8/9/17,4
2017-35,31/08/2017,958,28/08/2017,955.1,957,15,3851,3687498.2,31-08-2017,3
2017-34,25/08/2017,961,23/08/2017,952,960.1,25,2178,2090527.2,25-08-2017,5
2017-33,15/08/2017,960,15/08/2017,950,951.5,29,16070,15326345.9,18-08-2017,5
2017-32,10/8/17,960,9/8/17,950,960,14,7703,7322613,11/8/17,4
2017-31,3/8/17,960,3/8/17,950,951,17,14345,13637811,3/8/17,4
2017-30,28/07/2017,960,28/07/2017,950,958.3,34,3424,3260318.9,28-07-2017,5
2017-29,17/07/2017,983.6,20/07/2017,955,960,40,27258,26253889.6,21-07-2017,5
2017-28,11/7/17,985,10/7/17,955,983.6,19,11742,11254749.3,14-07-2017,5
2017-27,3/7/17,998.9,7/7/17,949,950,28,6639,6309883.5,7/7/17,3
2017-26,30/06/2017,995,28/06/2017,960,990,44,23769,23514501,30-06-2017,3
2017-25,20/06/2017,998.9,21/06/2017,980,998.9,13,7352,7277073,23-06-2017,4
2017-24,12/6/17,990,15/06/2017,976.1,988,34,33164,32769494.4,16-06-2017,5
2017-23,6/6/17,1000,9/6/17,976,976.2,35,16123,16096355.5,9/6/17,4
2017-22,2/6/17,1000,31/05/2017,970,993.3,38,64373,64354712.2,2/6/17,4
2017-21,23/05/2017,1017,22/05/2017,970,990,28,15461,15457208.7,25-05-2017,4
2017-20,17/05/2017,1010,15/05/2017,985,1002.1,48,18751,18793434.6,19-05-2017,5
2017-19,12/5/17,1000,12/5/17,979.9,996.8,47,3043,3010591.5,12/5/17,3
2017-18,5/5/17,990,2/5/17,970,985,28,177294,174958459,5/5/17,4
2017-17,28/04/2017,990,24/04/2017,961,989.9,94,71369,70128585.9,28-04-2017,5
2017-16,17/04/2017,1030,18/04/2017,940,960,46,3115,3009399.3,21-04-2017,4
2017-15,12/4/17,1010,11/4/17,910,999.2,58,72183,71727487.5,12/4/17,2
2017-14,7/4/17,910,4/4/17,865,908,84,36104,32220060.8,7/4/17,5
2017-13,27/03/2017,880,29/03/2017,828.1,870.9,30,17913,15579277,31-03-2017,5
12/1/17,24/03/2017,880,20/03/2017,839,872.5,31,53074,47651650.4,24-03-2017,4
